Movie Name,Release Year,Rank,Director Name,Genres
Drmspel,1994,4.7,Unni Straume,"Drama, Fantasy"
"Drobade, La",1979,5.7,Daniel Duval,Drama
Droh Kaal,1996,8.7,Govind Nihalani,"Drama, Thriller"
Drohi,1992,8.0,Ram Gopal Varma,"Action, Crime, Drama, Thriller"
Droid Gunner,1995,3.3,Fred Olen Ray,"Action, Sci-Fi"
Droit dans le mur,1997,2.0,Pierre (I) Richard,Comedy
Droopy Leprechaun,1958,4.5,Michael Lah,"Animation, Comedy, Family, Short"
Droopy's Double Trouble,1951,6.7,Tex Avery,"Animation, Comedy, Family, Short"
Droopy's Good Deed,1951,7.0,Tex Avery,"Animation, Comedy, Family, Short"
Drop Back Ten,2000,3.1,Stacy Cochran,"Comedy, Drama"
Drop Dead Darling,1966,4.4,Ken (I) Hughes,"Comedy, Crime"
Drop Dead Fred,1991,4.4,Ate de Jong,"Comedy, Fantasy"
Drop Dead Gorgeous (1999/I),1999,6.2,Michael Patrick Jann,Comedy
Drop Dead Rock,1995,4.7,Adam Dubin,Comedy
"Drop Kick, The",1927,4.3,Millard Webb,Drama
Drop Out - Nippelsuse schlgt zurck,1998,3.5,Beatrice Manowski,Crime
Drop Squad,1994,3.8,Clark (I) Johnson,Drama
Drop Squad,1994,3.8,David C. Johnson,Drama
Drop Zone,1994,5.5,John Badham,"Action, Thriller"
Drop-Out Wife,1972,4.1,Stephen C. Apostolof,Drama
Dropping Out,2000,5.0,Mark (I) Osborne,Comedy
Dropping the Gloves,2004,9.0,Eric Bomba-Ire,"Comedy, Fantasy, Short"
Drowning,2001,5.1,Ivo Martijn,"Mystery, Short, Thriller"
Drowning Lessons,2002,6.7,Gregory Kennedy,"Drama, Short"
Drowning Mona,2000,5.4,Nick Gomez,"Comedy, Crime, Mystery"
"Drowning Pool, The",1975,6.2,Stuart (I) Rosenberg,"Mystery, Thriller"
Drowning by Numbers,1988,7.1,Peter Greenaway,"Comedy, Drama"
Drowning in Dreams,1997,2.6,Tim Southam,Documentary
Drra p - kul grej p vg till Gtet,1967,2.0,Hasse Wallman,"Comedy, Music"
Drsena sur,1997,8.6,Pablo Reyero,Documentary
Druckbolzen,2003,7.0,Benjamin Diez,Short
Drug,1987,7.3,Leonid Kvinikhidze,"Drama, Romance"
"Drug Store Cowboy, The",1925,8.0,Park Frame,Comedy
Drug moj Kolka,1961,7.3,Aleksandr Mitta,Drama
Drug moj Kolka,1961,7.3,Aleksei Saltykov,Drama
Drug-Taking and the Arts,1994,8.1,Storm Thorgerson,"Documentary, Drama"
Druga Zikina dinastija,1986,2.7,Zoran Calic,Comedy
Drugstore,2000,6.8,Marion Vernoux,Short
Drugstore Cowboy,1989,7.4,Gus Van Sant,"Crime, Drama"
Drum,1976,3.8,Burt Kennedy,"Action, Drama"
Drum,1976,3.8,Steve Carver,"Action, Drama"
Drum Beat (1954/I),1954,6.4,Delmer Daves,"Adventure, Western"
Drum Struck,1991,4.3,Greg Nickson,"Comedy, Drama, Fantasy, Sci-Fi, Short"
"Drum, The",1938,7.3,Zoltan Korda,"Adventure, War"
Drumline,2002,5.4,Charles Stone III,"Comedy, Drama, Music, Romance"
Drums Across the River,1954,5.5,Nathan Juran,Western
Drums Along the Mohawk,1939,7.4,John (I) Ford,"Adventure, War, Western"
Drums in the Deep South,1951,5.8,William Cameron Menzies,War
Drums of Africa,1963,3.3,James B. (I) Clark,Adventure
Drums of Fu Manchu,1940,8.3,John (I) English,"Action, Adventure, Fantasy"
Drums of Fu Manchu,1940,8.3,William Witney,"Action, Adventure, Fantasy"
Drums of Fu Manchu,1943,6.5,John (I) English,"Adventure, Thriller"
Drums of Jeopardy,1931,4.3,George B. Seitz,Drama
Drums of Love,1928,4.9,D.W. Griffith,Drama
Drums of Tahiti,1954,4.5,William Castle,Adventure
Drumul oaselor,1980,6.9,Doru Nastase,Action
Drunk Driving,1939,5.4,David (I) Miller,"Drama, Short"
"Drunkard's Reformation, A",1909,5.4,D.W. Griffith,"Drama, Short"
Drunks,1995,5.7,Peter Cohn,Drama
Dry Cycle,2003,8.0,Isaac H. Eaton,"Comedy, Romance"
Dry Mount,1996,3.9,Nichol Simmons,Short
Dry Rot,1956,5.5,Maurice Elvey,Comedy
"Dry White Season, A",1989,6.7,Euzhan Palcy,"Drama, Thriller"
Drylanders,1963,4.7,Don Haldane,"Drama, Western"
Drylongso,1998,6.3,Cauleen Smith,Drama
Dschungelmdchen fr zwei Halunken,1974,5.6,Ernst Hofbauer,"Adventure, Fantasy"
Dschungelmdchen fr zwei Halunken,1974,5.6,Fernando (I) Orozco,"Adventure, Fantasy"
"Dsenchante, La",1990,6.3,Benoît Jacquot,Drama
"Dshabillage impossible, Le",1900,4.7,Georges Méliès,"Comedy, Fantasy, Short"
Dsir,1937,7.1,Sacha Guitry,Comedy
Dsir,1996,6.1,Bernard Murat,Comedy
Dsir (1992/I),1992,7.6,Albert Dupontel,Short
Dsman,1979,4.2,Yilmaz Güney,Drama
Dsman,1979,4.2,Zeki Ökten,Drama
Dsordre,1986,6.4,Olivier Assayas,Drama
"Dsordre et la nuit, Le",1958,6.2,Gilles Grangier,"Crime, Drama, Romance, Thriller"
Dtective,1985,5.9,Jean-Luc Godard,"Crime, Drama"
Dti pea Gekij-ban,1987,5.5,Kôichi Mashimo,"Animation, Sci-Fi"
Dtonborigawa,1982,6.4,Kinji Fukasaku,"Drama, Romance"
"Dtruire, dit-elle",1969,4.6,Marguerite Duras,Drama
Dttr dnya,1988,7.5,Zeki Ökten,Drama
Du Barry Was a Lady,1943,6.2,Roy Del Ruth,"Comedy, Musical"
Du Pappa,1994,4.9,René Bjerke,"Drama, Romance"
Du Shiniang,1981,7.5,Mao Zhou,Drama
Du ba,1991,4.6,Corey Yuen,"Action, Comedy, Romance"
Du ba,1991,4.6,Jeffrey Lau,"Action, Comedy, Romance"
Du bi quan wang da po xue di zi,1975,7.2,Yu (I) Wang,Action
Du bist Musik,1956,2.5,Paul (I) Martin,"Comedy, Musical"
Du bleu jusqu'en Amrique,1999,5.8,Sarah (I) Lévy,Drama
Du crime considr comme un des beaux-arts,1980,5.1,Frédéric Compain,Short
Du ct de la cte,1958,6.7,Agnès Varda,"Documentary, Short"
Du er ikke alene,1978,8.3,Ernst Johansen,Romance
Du er ikke alene,1978,8.3,Lasse Nielsen,Romance
Du mou dans la gchette,1966,2.6,Louis (II) Grospierre,"Adventure, Comedy"
Du pic au coeur,2001,4.3,Céline Baril,"Comedy, Romance"
Du poil sous les roses,2000,6.1,Agnès Obadia,Comedy
Du poil sous les roses,2000,6.1,Jean-Julien Chervier,Comedy
Du rififi  Paname,1966,6.2,Denys de La Patellière,"Crime, Drama"
Du rififi  Tokyo,1962,8.0,Jacques Deray,"Adventure, Crime, Drama"
Du rififi chez les hommes,1955,7.9,Jules Dassin,"Crime, Thriller"
Du shen xu ji,1994,6.9,Jing Wong,"Action, Comedy"
Du sheng 2 jie tou du sheng,1995,4.0,Jing Wong,Comedy
Du ska nog se att det gr ver,2003,5.8,Cecilia Neant-Falk,Documentary
Du skal re din hustru,1925,6.9,Carl Theodor Dreyer,"Comedy, Drama"
Du xia 1999,1998,5.6,Jing Wong,Comedy
Du xia II zhi Shang Hai tan du sheng,1991,6.5,Jing Wong,"Comedy, Fantasy"
Du-beat-e-o,1984,4.0,Alan Sacks,Comedy
Dual Alibi,1946,6.1,Alfred Travers,Crime
Dual Citizen,2001,6.6,Christy Garland,Short
Duan chang jian,1967,6.7,Cheh Chang,"Drama, Musical"
Duas Vezes com Helena,2000,6.8,Mauro Farias,Drama
Dubbel-ttan,2000,5.4,Daniel Fridell,Drama
Dubei dao,1967,7.2,Cheh Chang,"Action, Drama"
Dublin Nightmare,1958,5.3,John (II) Pomeroy,Thriller
"Duca nero, Il",1963,5.7,Pino Mercanti,"Adventure, Drama, Romance"
Duchcek to zard,1938,7.3,Carl Lamac,Comedy
"Duchess and the Dirtwater Fox, The",1976,4.9,Melvin Frank,"Comedy, Western"
"Duchess of Buffalo, The",1926,8.6,Sidney (I) Franklin,"Comedy, Romance"
Duchess of Idaho,1950,5.7,Robert Z. Leonard,"Comedy, Musical, Romance"
Duck Amuck,1953,8.4,Chuck (I) Jones,"Animation, Comedy, Family, Short"
Duck Children,2001,6.3,Bob Blundon,Short
Duck Children,2001,6.3,Sam (III) Walker,Short
"Duck Doctor, The",1952,6.7,Joseph Barbera,"Animation, Comedy, Family, Short"
"Duck Doctor, The",1952,6.7,William (I) Hanna,"Animation, Comedy, Family, Short"
Duck Dodgers in the 24th Century,1953,8.4,Chuck (I) Jones,"Animation, Comedy, Family, Sci-Fi, Short"
"Duck Hunt, The",1932,6.5,Burt Gillett,"Animation, Comedy, Family, Short"
Duck Pimples,1945,6.4,Jack Kinney,"Animation, Comedy, Family, Mystery, Short"
Duck Soup,1927,7.4,Fred Guiol,"Comedy, Short"
Duck Soup,1933,8.3,Leo McCarey,"Comedy, Musical"
Duck Soup,1942,9.9,Ben Holmes,"Comedy, Short"
Duck Soup to Nuts,1944,6.8,Friz Freleng,"Animation, Comedy, Family, Short"
Duck and Cover,1951,6.6,Anthony (II) Rizzo,"Animation, Short"
"Duck! Rabbit, Duck!",1953,8.7,Chuck (I) Jones,"Animation, Comedy, Family, Short"
DuckTales: The Movie - Treasure of the Lost Lamp,1990,6.2,Bob Hathcock,"Adventure, Animation, Comedy, Family"
DuckTales: The Movie - Treasure of the Lost Lamp,1990,6.2,Clive Pallant,"Adventure, Animation, Comedy, Family"
DuckTales: The Movie - Treasure of the Lost Lamp,1990,6.2,Gaëtan Brizzi,"Adventure, Animation, Comedy, Family"
DuckTales: The Movie - Treasure of the Lost Lamp,1990,6.2,Mathias Marcos Rodric,"Adventure, Animation, Comedy, Family"
DuckTales: The Movie - Treasure of the Lost Lamp,1990,6.2,Paul Brizzi,"Adventure, Animation, Comedy, Family"
DuckTales: The Movie - Treasure of the Lost Lamp,1990,6.2,Vincent Woodcock,"Adventure, Animation, Comedy, Family"
Ducking the Devil,1957,6.9,Robert McKimson,"Animation, Comedy, Family, Short"
"Ducksters, The",1950,7.3,Chuck (I) Jones,"Animation, Comedy, Family, Short"
Ducktators,1997,6.5,Guus van Waveren,"Animation, Documentary"
Ducktators,1997,6.5,Wolter Braamhorst,"Animation, Documentary"
"Ducktators, The",1942,7.1,Norm McCabe,"Animation, Comedy, Family, Short"
Duct Tape Forever,2002,5.8,Eric Till,Comedy
Dud Leaves Home,1919,4.4,Wallace A. Carlson,"Animation, Short"
Dude Cowboy,1941,5.0,David (I) Howard,Western
Dude Duck,1951,8.4,Jack (I) Hannah,"Animation, Comedy, Family, Short"
"Dude Goes West, The",1948,6.1,Kurt (I) Neumann,"Comedy, Western"
"Dude Ranger, The",1934,6.1,Edward F. Cline,Western
"Dude, Where's My Car?",2000,4.6,Danny Leiner,"Comedy, Sci-Fi"
Dudes,1987,4.1,Penelope Spheeris,Comedy
Dudley Do-Right,1999,3.6,Hugh (I) Wilson,"Comedy, Family"
"Due Kennedy, I",1969,4.8,Gianni Bisiach,Documentary
Due amici,2002,6.5,Francesco Sframeli,Drama
Due amici,2002,6.5,Spiro Scimone,Drama
"Due carabinieri, I",1984,6.5,Carlo Verdone,Comedy
"Due colonnelli, I",1962,8.0,Philipp Stennert,Comedy
Due cuori fra le belve,1943,8.1,Giorgio Simonelli,Comedy
"Due deputati, I",1968,7.2,Giovanni (I) Grimaldi,Comedy
Due fratelli,1972,4.7,Renzo Genta,Western
Due fratelli,1972,4.7,Richard (II) Harrison,Western
"Due gladiatori, I",1964,6.7,Mario Caiano,Drama
Due mafiosi contro Al Capone,1966,5.9,Giorgio Simonelli,Comedy
Due mafiosi contro Goldginger,1965,3.9,Giorgio Simonelli,Comedy
Due mafiosi nel Far West,1965,6.6,Giorgio Simonelli,"Comedy, Western"
"Due maghi del pallone, I",1971,5.4,Mariano Laurenti,Comedy
"Due marescialli, I",1961,6.9,Sergio Corbucci,"Comedy, Drama"
Due marines e un generale,1966,3.2,Luigi Scattini,Comedy
Due notti con Cleopatra,1953,4.9,Mario Mattoli,Comedy
Due occhi diabolici,1990,5.2,Dario Argento,Horror
Due occhi diabolici,1990,5.2,George A. (I) Romero,Horror
Due samurai per cento geishe,1962,6.7,Giorgio Simonelli,Comedy
Due soldi di speranza,1952,7.0,Renato Castellani,Drama
"Due superpiedi quasi piatti, I",1976,6.2,Enzo Barboni,"Action, Adventure, Comedy, Crime"
"Due vite di Mattia Pascal, Le",1985,6.2,Mario Monicelli,Comedy
Duel,1969,8.0,Dusan Vukotic,"Documentary, Short"
Duel (1999/I),1999,4.9,Jean-Loup Hubert,Short
Duel Personality,1966,4.9,Chuck (I) Jones,"Animation, Comedy, Family, Short"
Duel Personality,1966,4.9,Maurice Noble,"Animation, Comedy, Family, Short"
Duel at Apache Wells,1957,5.8,Joseph Kane,Western
Duel at Diablo,1966,6.3,Ralph (I) Nelson,Western
"Duel at Silver Creek, The",1952,5.6,Don (I) Siegel,Western
"Duel d'Hamlet, Le",1900,4.3,Clément Maurice,Drama
Duel in the Jungle,1954,5.3,George (I) Marshall,Adventure
Duel in the Sun,1946,7.0,David O. Selznick,"Drama, Western"
Duel in the Sun,1946,7.0,Josef von Sternberg,"Drama, Western"
Duel in the Sun,1946,7.0,King Vidor,"Drama, Western"
Duel in the Sun,1946,7.0,Otto Brower,"Drama, Western"
Duel in the Sun,1946,7.0,Sidney (I) Franklin,"Drama, Western"
Duel in the Sun,1946,7.0,William Cameron Menzies,"Drama, Western"
Duel in the Sun,1946,7.0,William Dieterle,"Drama, Western"
Duel of the Masters,1988,5.9,Wilson Tong,"Action, Drama"
Duel on the Mississippi,1955,6.3,William Castle,Drama
"Duellists, The",1977,7.3,Ridley Scott,"Action, War"
Duello nel Texas,1963,7.0,Ricardo (I) Blasco,Western
Duelo ao Pr-do-Sol,1998,8.6,Gustavo Schneider,"Drama, Romance, Western"
Duelul,1981,8.1,Sergiu Nicolaescu,Thriller
Duende y misterio del flamenco,1952,5.4,Edgar Neville,Documentary
Duet for One,1986,5.4,Andrei Konchalovsky,Drama
Duets,2000,5.7,Bruce Paltrow,"Comedy, Drama, Music"
Duffy,1968,4.6,Robert Parrish,"Comedy, Crime"
Duffy's Tavern,1945,3.9,Hal (I) Walker,"Comedy, Musical"
Duga mracna noc,2004,8.1,Antun Vrdoljak,"Drama, War"
"Dui bat hei, doh je nei",1997,4.8,Tung Cho 'Joe' Cheung,Comedy
"Duke Is Tops, The",1938,5.1,William L. Nolte,Musical
"Duke of West Point, The",1938,6.6,Alfred E. Green,Drama
"Duke, The",1999,5.5,Philip Spink,"Comedy, Family"
Dukhovnyye golosa,1995,7.7,Aleksandr Sokurov,Documentary
Dulces compaas,1995,6.7,Óscar Blancarte,Drama
Dulces horas,1982,6.3,Carlos Saura,Drama
Dulcima,1971,4.2,Frank (I) Nesbitt,Drama
Dulcy,1940,5.8,S. Sylvan Simon,Comedy
Dulhan Hum Le Jayenge,2000,6.7,David Dhawan,"Comedy, Drama"
Dulhe Raja,1998,5.4,Harmesh Malhotra,"Action, Comedy, Drama"
Duli shidai,1994,6.7,Edward Yang,Comedy
Dum,2003,3.3,E. Nivas,Crime
Dum Dum Dum,2001,8.6,Alagam Perumal,Action
Dum pro dva,1987,7.1,Milos Zábranský,Drama
Dum-Bom,1953,3.0,Nils Poppe,Comedy
Dumb & Dumber,1994,6.6,Bobby Farrelly,"Adventure, Comedy"
Dumb & Dumber,1994,6.6,Peter Farrelly,"Adventure, Comedy"
Dumb Bell of the Yukon,1946,7.4,Jack (I) King,"Animation, Comedy, Family, Short"
"Dumb Girl of Portici, The",1916,6.7,Lois Weber,"Drama, Romance"
"Dumb Girl of Portici, The",1916,6.7,Phillips Smalley,"Drama, Romance"
Dumb Luck in Vegas,1997,1.7,Joey Travolta,"Action, Comedy"
Dumb Luck in Vegas,1997,1.7,Raymond Martino,"Action, Comedy"
Dumb Patrol,1931,5.0,Hugh Harman,"Animation, Comedy, Family, Short"
Dumb Patrol,1931,5.0,Rudolf Ising,"Animation, Comedy, Family, Short"
Dumb Patrol,1964,5.9,Gerry Chiniquy,"Animation, Comedy, Family, Short, War"
Dumb and Dumberer: When Harry Met Lloyd,2003,3.3,Troy Miller,Comedy
Dumb-Hounded,1943,7.4,Tex Avery,"Animation, Comedy, Family, Short"
Dumbarton Bridge,1999,4.3,Charles (II) Koppelman,Drama
Dumbo,1941,7.4,Ben Sharpsteen,"Animation, Drama, Family, Musical"
Dumbrava minunata,1980,1.0,Gheorghe Naghi,Fantasy
Dumm gelaufen,1997,5.4,Peter Timm,Comedy
Dummy,2002,6.6,Greg Pritikin,"Comedy, Drama, Romance"
Dummy Doc,1993,6.6,Matthew Durham,"Documentary, Short"
Dumping Elaine,2001,6.5,Peter Lydon,Short
Dun jeuk nai guay loy,1994,8.1,Chi Leung 'Jacob' Cheung,Horror
Dun-Huang,1988,6.4,Junya Sato,Drama
"Dunai hajs, A",1974,8.2,Miklós Markos,Adventure
Dunderklumpen!,1974,6.7,Per Åhlin,"Animation, Family"
Dune,1984,6.3,David (I) Lynch,"Action, Adventure, Fantasy, Sci-Fi"
Dune 7,2002,4.2,Feri Hefti,Adventure
Dune Warriors,1990,3.4,Cirio H. Santiago,"Action, Adventure, Sci-Fi"
Dung che sai duk,1994,7.2,Kar Wai Wong,Drama
Dung fong bat baai 2: fung wan joi hei,1992,6.0,Raymond (II) Lee,"Action, Romance"
Dung fong bat baai 2: fung wan joi hei,1992,6.0,Siu-Tung Ching,"Action, Romance"
Dung fong saam hap,1993,6.8,Johnny To,"Action, Fantasy"
Dung fong tuk ying,1986,7.1,Sammo Hung Kam-Bo,"Action, Drama, War"
Dungeon of Harrow,1962,3.6,Pat Boyette,Horror
"Dungeonmaster, The",1985,2.8,Charles Band,"Fantasy, Sci-Fi"
"Dungeonmaster, The",1985,2.8,Dave (II) Allen,"Fantasy, Sci-Fi"
"Dungeonmaster, The",1985,2.8,John Carl Buechler,"Fantasy, Sci-Fi"
"Dungeonmaster, The",1985,2.8,Peter Manoogian,"Fantasy, Sci-Fi"
"Dungeonmaster, The",1985,2.8,Rosemarie Turko,"Fantasy, Sci-Fi"
"Dungeonmaster, The",1985,2.8,Steven (I) Ford,"Fantasy, Sci-Fi"
"Dungeonmaster, The",1985,2.8,Ted Nicolaou,"Fantasy, Sci-Fi"
Dungeons & Dragons,2000,4.0,Courtney Solomon,"Action, Adventure, Fantasy"
Dunked in the Deep,1949,6.8,Jules White,"Comedy, Short"
Dunkirk,1958,6.8,Leslie Norman,"Drama, War"
Dunsmore,2003,4.2,Peter Spirer,Drama
Dunston Checks In,1996,4.7,Ken Kwapis,"Adventure, Comedy, Family"
"Dunwich Horror, The",1970,4.5,Daniel (I) Haller,Horror
Duo luo tian shi,1995,7.4,Kar Wai Wong,Drama
Duo-Sang,1994,6.0,Nien-Jen Wu,Drama
Dupe od mramora,1995,7.4,Zelimir Zilnik,"Drama, War"
Duplex,2003,5.7,Danny DeVito,Comedy
Duplicate,1998,6.1,Mahesh (I) Bhatt,"Action, Comedy, Crime"
Dupont-Lajoie,1975,7.3,Yves Boisset,Drama
"Duquesa roja, La",1996,5.3,Francisco Betriú,Comedy
"Durango Kid, The",1940,5.7,Lambert Hillyer,Western
Durango Kids,1999,4.5,Ashton Root,"Family, Fantasy"
Durchbruch Lok 234,1963,5.3,Frank Wisbar,Drama
During One Night,1961,4.7,Sidney J. Furie,War
Durst,1993,3.5,Martin Weinhart,Drama
Durusma,1999,5.3,Yalcin Yelence,"Comedy, Family, Romance"
Durval Discos,2002,7.0,Anna Muylaert,"Comedy, Drama, Music"
Dusha,1981,5.6,Aleksandr Stefanovich,Musical
Dushman,1971,8.1,Dulal Guha,"Drama, Family"
Dushman,1998,5.6,Tanuja Chandra,Crime
Dushmani,1995,5.3,Bunty Soorma,"Action, Romance"
Dushmani,1995,5.3,Shekhar Kapur,"Action, Romance"
Dusk,2002,9.2,Jaime Mariscal,"Drama, Short"
Dust,1985,5.6,Marion Hänsel,Drama
Dust,2000,4.5,Alexandra Cassavetes,Short
Dust,2000,4.5,Ivan Sen,Short
Dust (2001/I),2001,5.6,Milcho Manchevski,"Drama, Western"
Dust (2001/II),2001,5.5,Adam Mason,"Comedy, Horror, Thriller"
Dust Be My Destiny,1939,6.4,Lewis Seiler,Drama
Dust Devil,1992,5.4,Richard (I) Stanley,Horror
Dusting Cliff 7,1996,3.7,William H. Molina,"Action, Crime, Drama, Thriller"
Dusty (1983/I),1983,5.3,John (III) Richardson,Drama
Dusty and Sweets McGee,1971,5.9,Floyd Mutrux,"Crime, Drama"
Dut hiu yuet yuen,2004,6.1,Kam-Hung Yip,Comedy
Dutch,1991,5.6,Peter Faiman,Comedy
"Dutch Master, The",1994,5.1,Susan Seidelman,"Comedy, Romance, Short"
Dutchman,1966,6.4,Anthony (II) Harvey,Drama
Dutiful But Dumb,1941,7.7,Del Lord,"Comedy, Short"
Duty Dating,2002,4.5,Cherry Norris,"Comedy, Romance"
Duvar,1983,7.5,Yilmaz Güney,Drama
"Duxorcist, The",1987,7.0,Greg (I) Ford,"Animation, Comedy, Family, Short"
"Duxorcist, The",1987,7.0,Terry Lennon,"Animation, Comedy, Family, Short"
Duze zwierze,2000,6.4,Jerzy Stuhr,"Comedy, Drama"
Dva bojtsa,1943,9.5,Leonid Lukov,"Romance, War"
Dva kapitana II,1993,7.9,Sergei Debizhev,"Adventure, Comedy, Documentary, Fantasy"
Dva mrazci,1953,6.4,Jirí (I) Trnka,"Animation, Comedy, Short"
Dvadtsat' dnej bez vojny,1976,6.3,Aleksei German,"Drama, Romance, War"
Dvadtsat' shest' dnej iz zhizni Dostoyevskogo,1980,6.7,Aleksandr Zarkhy,Romance
Dve strely. Detektiv kamennogo veka,1989,4.1,Alla Surikova,"Comedy, Crime"
Dvenadtsat' mesyatsev,1972,8.2,Anatoli Granik,Family
Dvenadtsataya noch,1955,6.9,A. (I) Abramov,Comedy
Dvka na kosteti,1972,7.2,Václav Vorlícek,"Adventure, Family, Fantasy"
Dvka v modrm,1940,6.2,Otakar Vávra,"Comedy, Romance"
Dvoryanskoye gnyezdo,1969,6.0,Andrei Konchalovsky,Romance
Dvoynikat,1980,9.2,Nikolai Volev,Comedy
Dvrgen,1973,4.6,Vidal Raski,"Crime, Horror"
Dwa meita senshi Windaria,1986,7.6,Kunihiko Yuyama,Animation
Dwa zebra Adama,1964,6.9,Janusz Morgenstern,Comedy
Dwaj ludzie z szafa,1958,6.9,Roman Polanski,"Comedy, Fantasy, Short"
"Dwaze Lotgevallen van Sherlock Jones, De",1975,3.1,Nikolai van der Heyde,Comedy
Dweepa,2001,6.7,Girish Kasaravalli,Drama
Dworzec,1980,3.7,Krzysztof Kieslowski,"Documentary, Short"
Dyadya Vanya,1970,5.9,Andrei Konchalovsky,Drama
Dyadyushka Au v gorode,1979,6.8,Mariya Muat,Animation
"Dybbuk B'sde Hatapuchim Hakdoshim, Ha",1998,7.7,Yossi Somer,"Drama, Romance"
Dybuk,1937,5.6,Michal Waszynski,Fantasy
Dying Like Ophelia,2002,8.8,Ed Gass-Donnelly,"Drama, Short"
Dying On the Edge,2001,4.7,William R. Greenblatt,Drama
Dying Young,1991,5.2,Joel Schumacher,"Drama, Romance"
Dying at Grace,2003,7.0,Allan King,Documentary
Dykaren,2000,3.8,Erik Gustavson,Thriller
Dykkerdrengen,2003,6.0,Morten Giese,"Drama, Short"
Dykkerne,2000,5.8,Åke Sandgren,"Adventure, Drama"
Dykket,1989,7.3,Tristan DeVere Cole,"Action, Drama, Thriller"
Dynamiittitytt,1944,6.6,Valentin Vaala,Comedy
Dynamit,1947,6.7,Åke Ohberg,"Crime, Drama"
Dynamite,1929,6.6,Cecil B. DeMille,Drama
Dynamite,2002,4.0,Walter Baltzer,Thriller
Dynamite Brothers,1973,1.5,Al Adamson,Action
Dynamite Chicken,1972,4.7,Ernest Pintoff,Comedy
Dypets ensomhet,1995,7.5,Joachim Solum,"Drama, Short"
Dypets ensomhet,1995,7.5,Thomas Lien,"Drama, Short"
Dyrlgens plejebrn,1968,6.4,Carl Ottosen,Comedy
Dyrygent,1980,6.1,Andrzej Wajda,Drama
DysEnchanted,2004,4.7,Terri (I) Miller,Short
DysFunktional Family,2003,5.0,George Gallo,"Comedy, Documentary"
Dyuba-Dyuba,1993,7.8,Aleksandr Khvan,"Drama, Romance"
Dyuimovochka,1964,8.3,Leonid Amalrik,"Animation, Family"
Dzd pad na nase duse,2002,5.3,Vlado Balco,Drama
Dzhamilya,1969,5.9,Irina Poplavskaya,Drama
"Dzhek Vosmyorkin, amerikanets",1987,3.9,Yevgeni Tatarsky,Comedy
Dzhentlmeny udachi,1972,8.5,Aleksandr Seryj,"Comedy, Crime"
Dziecinne pytania,1981,7.3,Janusz Zaorski,Drama
Dzieciol,1970,6.5,Jerzy Gruza,Comedy
Dzien swira,2002,8.3,Marek Koterski,"Comedy, Drama"
E Dio disse a Caino,1969,6.9,Antonio Margheriti,Western
E allora mambo!,1999,6.6,Lucio Pellegrini,Comedy
E la nave va,1983,7.1,Federico Fellini,"Comedy, War"
E poi lo chiamarono il magnifico,1972,6.2,Enzo Barboni,"Action, Comedy, Western"
E tan qun hing ying hui,1976,3.8,Shan-si Ting,"Action, Adventure, Crime, Drama"
E tu vivrai nel terrore - L'aldil,1981,6.7,Lucio Fulci,Horror
E yu tou hei sha xing,1978,4.2,Tso Nam Lee,"Action, Crime, Drama"
E-mail,2000,4.1,Markos Holevas,"Comedy, Romance"
E.T. the Extra-Terrestrial,1982,7.8,Steven Spielberg,"Adventure, Family, Fantasy, Sci-Fi"
"E.T.E. y el oto, El",1983,4.2,Manuel (I) Esteba,"Comedy, Sci-Fi"
E=mc2,2002,5.3,Olaf Lubaszenko,"Action, Comedy"
"EGGcited Rooster, The",1952,5.0,Robert McKimson,"Animation, Comedy, Family, Short"
ELFilm,2001,6.9,Jakub Sommer,"Comedy, Romance, Short"
Each Dawn I Crow,1949,7.9,Friz Freleng,"Animation, Comedy, Family, Short"
Each Dawn I Die,1939,6.9,William Keighley,"Crime, Drama, Thriller"
"Eagle Has Landed, The",1976,6.7,John Sturges,"Adventure, Drama, War"
Eagle Island,1986,5.5,Mats Helge,"Action, Thriller"
Eagle Squadron,1942,6.0,Arthur Lubin,"Drama, War"
"Eagle and the Hawk, The",1933,6.9,Stuart (I) Walker,"Action, Drama, War"
"Eagle and the Hawk, The",1950,6.2,Lewis R. Foster,Western
Eagle in a Cage,1972,6.8,Fielder Cook,Drama
"Eagle's Brood, The",1935,7.6,Howard Bretherton,Western
Eagle's Claw,1978,6.3,Tso Nam Lee,Action
Eagle's Wing,1979,4.8,Anthony (II) Harvey,Western
"Eagle, The",1925,6.8,Clarence (I) Brown,"Comedy, Romance"
Earl Carroll Vanities,1945,5.1,Joseph Santley,Musical
"Earl of Chicago, The",1940,5.4,Richard (I) Thorpe,Drama
"Earl of Chicago, The",1940,5.4,Victor Saville,Drama
Earl's Your Uncle,2004,9.6,Thomas (III) Phillips,"Comedy, Short"
Earl's Your Uncle,2004,9.6,Thomas L. Phillips,"Comedy, Short"
"Early 70's Horror Trailer, The",1999,5.3,Damon Packard,"Horror, Short, Thriller"
Early Abstractions,1987,7.6,Harry (I) Smith,Short
Early Amateur Sound Film,1937,6.2,Archie Stewart,"Documentary, Short"
Early Bird,1983,6.4,David Sproxton,"Animation, Comedy, Short"
Early Bird,1983,6.4,Peter (I) Lord,"Animation, Comedy, Short"
"Early Bird Dood It!, The",1942,6.6,Tex Avery,"Animation, Comedy, Family, Short"
"Early Bird, The",1965,6.5,Robert (I) Asher,Comedy
